distance;n_common_business_interest;skills_distinct_sum;common_skills;hobbies_distinct_sum;common_hobbies;proximityScore;businessInterestsScore;skillsScore;hobbiesScore;total_score
300;0;3;3;4;2;24,56;0;0;7,5;32,06
300;0;2;2;2;1;24,56;0;0;7,5;32,06
400;0;5;5;4;3;20,88;0;0;11,25;32,13
400;0;2;2;4;3;20,88;0;0;11,25;32,13
400;0;4;4;4;3;20,88;0;0;11,25;32,13
400;0;3;3;4;3;20,88;0;0;11,25;32,13
300;0;5;4;4;1;24,56;0;4;3,75;32,32
400;0;5;4;4;2;20,88;0;4;7,5;32,38
400;0;5;4;2;1;20,88;0;4;7,5;32,38
400;0;3;2;3;1;20,88;0;6,67;5;32,55
300;0;5;3;3;0;24,56;0;8;0;32,56
300;0;5;3;2;0;24,56;0;8;0;32,56
300;0;5;3;4;0;24,56;0;8;0;32,56
400;0;5;3;4;1;20,88;0;8;3,75;32,63
200;0;2;2;4;1;28,9;0;0;3,75;32,65
200;0;5;5;4;1;28,9;0;0;3,75;32,65
200;0;3;3;4;1;28,9;0;0;3,75;32,65
200;0;4;4;4;1;28,9;0;0;3,75;32,65
400;0;5;2;4;0;20,88;0;12;0;32,88
400;0;5;2;2;0;20,88;0;12;0;32,88
400;0;5;2;3;0;20,88;0;12;0;32,88
200;0;5;4;4;0;28,9;0;4;0;32,9
200;0;5;4;2;0;28,9;0;4;0;32,9
200;0;5;4;3;0;28,9;0;4;0;32,9
300;0;4;3;4;1;24,56;0;5;3,75;33,32
400;0;4;3;4;2;20,88;0;5;7,5;33,38
400;0;4;3;2;1;20,88;0;5;7,5;33,38
300;0;5;4;3;1;24,56;0;4;5;33,56
400;0;5;3;3;1;20,88;0;8;5;33,88
200;0;2;2;3;1;28,9;0;0;5;33,9
200;0;4;3;3;0;28,9;0;5;0;33,9
200;0;4;4;3;1;28,9;0;0;5;33,9
200;0;4;3;2;0;28,9;0;5;0;33,9
200;0;3;3;3;1;28,9;0;0;5;33,9
200;0;4;3;4;0;28,9;0;5;0;33,9
200;0;5;5;3;1;28,9;0;0;5;33,9
100;0;3;3;2;0;34;0;0;0;34
100;0;3;3;3;0;34;0;0;0;34
100;0;3;3;4;0;34;0;0;0;34
100;0;2;2;3;0;34;0;0;0;34
100;0;4;4;4;0;34;0;0;0;34
100;0;4;4;3;0;34;0;0;0;34
100;0;5;5;3;0;34;0;0;0;34
100;0;2;2;2;0;34;0;0;0;34
100;0;2;2;4;0;34;0;0;0;34
100;0;5;5;2;0;34;0;0;0;34
100;0;4;4;2;0;34;0;0;0;34
100;0;5;5;4;0;34;0;0;0;34
400;0;3;1;3;0;20,88;0;13,33;0;34,21
400;0;3;1;4;0;20,88;0;13,33;0;34,21
400;0;3;1;2;0;20,88;0;13,33;0;34,21
300;0;2;1;2;0;24,56;0;10;0;34,56
300;0;3;3;3;2;24,56;0;0;10;34,56
300;0;4;3;3;1;24,56;0;5;5;34,56
300;0;2;1;3;0;24,56;0;10;0;34,56
300;0;2;1;4;0;24,56;0;10;0;34,56
300;0;5;5;3;2;24,56;0;0;10;34,56
300;0;4;2;4;0;24,56;0;10;0;34,56
300;0;4;2;3;0;24,56;0;10;0;34,56
300;0;4;2;2;0;24,56;0;10;0;34,56
300;0;2;2;3;2;24,56;0;0;10;34,56
300;0;4;4;3;2;24,56;0;0;10;34,56
400;0;2;1;4;1;20,88;0;10;3,75;34,63
400;0;4;2;4;1;20,88;0;10;3,75;34,63
400;0;5;4;3;2;20,88;0;4;10;34,88
300;0;3;2;4;1;24,56;0;6,67;3,75;34,98
400;0;3;2;2;1;20,88;0;6,67;7,5;35,05
400;0;3;2;4;2;20,88;0;6,67;7,5;35,05
200;0;3;2;4;0;28,9;0;6,67;0;35,57
200;0;3;2;3;0;28,9;0;6,67;0;35,57
200;0;3;2;2;0;28,9;0;6,67;0;35,57
300;0;2;2;4;3;24,56;0;0;11,25;35,82
300;0;5;5;4;3;24,56;0;0;11,25;35,82
300;0;3;3;4;3;24,56;0;0;11,25;35,82
300;0;4;4;4;3;24,56;0;0;11,25;35,82
400;0;4;4;4;4;20,88;0;0;15;35,88
400;0;3;3;2;2;20,88;0;0;15;35,88
400;0;4;1;4;0;20,88;0;15;0;35,88
400;0;3;3;4;4;20,88;0;0;15;35,88
400;0;4;3;3;2;20,88;0;5;10;35,88
400;0;4;1;3;0;20,88;0;15;0;35,88
400;0;4;1;2;0;20,88;0;15;0;35,88
400;0;5;5;3;3;20,88;0;0;15;35,88
400;0;4;4;3;3;20,88;0;0;15;35,88
400;0;5;5;4;4;20,88;0;0;15;35,88
400;0;5;5;2;2;20,88;0;0;15;35,88
400;0;2;1;3;1;20,88;0;10;5;35,88
400;0;2;2;4;4;20,88;0;0;15;35,88
400;0;4;2;3;1;20,88;0;10;5;35,88
400;0;4;4;2;2;20,88;0;0;15;35,88
400;0;2;2;2;2;20,88;0;0;15;35,88
400;0;3;3;3;3;20,88;0;0;15;35,88
400;0;2;2;3;3;20,88;0;0;15;35,88
300;0;5;4;2;1;24,56;0;4;7,5;36,06
300;0;5;4;4;2;24,56;0;4;7,5;36,06
400;0;5;4;4;3;20,88;0;4;11,25;36,13
300;0;3;2;3;1;24,56;0;6,67;5;36,23
300;0;5;3;4;1;24,56;0;8;3,75;36,32
400;0;5;3;4;2;20,88;0;8;7,5;36,38
400;0;5;3;2;1;20,88;0;8;7,5;36,38
200;0;3;3;2;1;28,9;0;0;7,5;36,4
200;0;4;4;4;2;28,9;0;0;7,5;36,4
200;0;5;5;4;2;28,9;0;0;7,5;36,4
200;0;5;5;2;1;28,9;0;0;7,5;36,4
200;0;2;2;2;1;28,9;0;0;7,5;36,4
200;0;2;2;4;2;28,9;0;0;7,5;36,4
200;0;3;3;4;2;28,9;0;0;7,5;36,4
200;0;4;4;2;1;28,9;0;0;7,5;36,4
300;0;5;2;3;0;24,56;0;12;0;36,56
300;0;5;2;2;0;24,56;0;12;0;36,56
300;0;5;2;4;0;24,56;0;12;0;36,56
400;0;5;2;4;1;20,88;0;12;3,75;36,63
200;0;5;4;4;1;28,9;0;4;3,75;36,65
400;0;5;1;4;0;20,88;0;16;0;36,88
400;0;5;1;3;0;20,88;0;16;0;36,88
400;0;5;1;2;0;20,88;0;16;0;36,88
200;0;5;3;4;0;28,9;0;8;0;36,9
200;0;5;3;2;0;28,9;0;8;0;36,9
200;0;5;3;3;0;28,9;0;8;0;36,9
300;0;4;3;2;1;24,56;0;5;7,5;37,06
300;0;4;3;4;2;24,56;0;5;7,5;37,06
400;0;4;3;4;3;20,88;0;5;11,25;37,13
400;0;3;2;3;2;20,88;0;6,67;10;37,55
300;0;5;3;3;1;24,56;0;8;5;37,56
200;0;4;3;4;1;28,9;0;5;3,75;37,65
100;0;5;5;4;1;34;0;0;3,75;37,75
100;0;3;3;4;1;34;0;0;3,75;37,75
100;0;4;4;4;1;34;0;0;3,75;37,75
100;0;2;2;4;1;34;0;0;3,75;37,75
400;0;5;2;3;1;20,88;0;12;5;37,88
300;0;3;1;2;0;24,56;0;13,33;0;37,9
300;0;3;1;4;0;24,56;0;13,33;0;37,9
300;0;3;1;3;0;24,56;0;13,33;0;37,9
200;0;5;4;3;1;28,9;0;4;5;37,9
400;0;3;1;4;1;20,88;0;13,33;3,75;37,96
100;0;5;4;4;0;34;0;4;0;38
100;0;5;4;3;0;34;0;4;0;38
100;0;5;4;2;0;34;0;4;0;38
300;0;4;2;4;1;24,56;0;10;3,75;38,32
300;0;2;1;4;1;24,56;0;10;3,75;38,32
400;0;2;1;4;2;20,88;0;10;7,5;38,38
400;0;4;2;4;2;20,88;0;10;7,5;38,38
400;0;2;1;2;1;20,88;0;10;7,5;38,38
400;0;4;2;2;1;20,88;0;10;7,5;38,38
300;0;5;4;3;2;24,56;0;4;10;38,56
300;0;3;2;2;1;24,56;0;6,67;7,5;38,73
300;0;3;2;4;2;24,56;0;6,67;7,5;38,73
400;0;3;2;4;3;20,88;0;6,67;11,25;38,8
400;0;5;3;3;2;20,88;0;8;10;38,88
200;0;2;1;3;0;28,9;0;10;0;38,9
200;0;2;2;3;2;28,9;0;0;10;38,9
200;0;2;1;4;0;28,9;0;10;0;38,9
200;0;2;1;2;0;28,9;0;10;0;38,9
200;0;4;4;3;2;28,9;0;0;10;38,9
200;0;4;2;4;0;28,9;0;10;0;38,9
200;0;5;5;3;2;28,9;0;0;10;38,9
200;0;3;3;3;2;28,9;0;0;10;38,9
200;0;4;2;3;0;28,9;0;10;0;38,9
200;0;4;2;2;0;28,9;0;10;0;38,9
200;0;4;3;3;1;28,9;0;5;5;38,9
100;0;4;3;4;0;34;0;5;0;39
100;0;4;4;3;1;34;0;0;5;39
100;0;2;2;3;1;34;0;0;5;39
100;0;4;3;3;0;34;0;5;0;39
100;0;5;5;3;1;34;0;0;5;39
100;0;4;3;2;0;34;0;5;0;39
100;0;3;3;3;1;34;0;0;5;39
400;0;3;1;3;1;20,88;0;13,33;5;39,21
